Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1765937611,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1765937612,1,,Aggregated,0.000000,0.000000,20,20,32,32,350,350,350,350,350,350,350,6,0,19,72.0199599998826,4.3215849996158795,345.91905799970846,1021.8333333333334
1765937613,2,,Aggregated,0.000000,0.000000,19,20,22,24,32,350,350,350,350,350,350,14,0,18,39.836103928564626,2.985629000249901,345.91905799970846,767.5
1765937614,5,,Aggregated,6.000000,0.000000,22,30,40,52,230,440,1400,1400,1400,1400,1400,32,0,22,97.15062471879321,2.985629000249901,1441.9237279998924,1068.09375
1765937615,8,,Aggregated,6.000000,0.000000,22,25,39,42,230,350,1400,1700,1700,1700,1700,76,0,22,86.09593319739648,2.9833260000486916,1702.5096550000853,842.2236842105264
1765937616,10,,Aggregated,10.333333,0.000000,20,23,25,33,54,270,440,1400,1700,1700,1700,131,0,20,60.223504015299696,2.8345199998511816,1702.5096550000853,797.2061068702291
1765937617,13,,Aggregated,19.000000,0.000000,22,36,48,52,100,240,370,1400,1700,1700,1700,188,0,22,60.998725776619025,2.8345199998511816,1702.5096550000853,791.8563829787234
1765937618,16,,Aggregated,19.000000,0.000000,24,36,48,52,97,240,320,440,1700,1700,1700,264,0,24,55.35339014016755,2.8345199998511816,1702.5096550000853,848.1401515151515
1765937619,18,,Aggregated,30.333333,0.000000,25,39,50,56,97,230,320,440,2500,2500,2500,357,0,25,59.90469505323778,2.8345199998511816,2514.17686700006,818.0504201680673
1765937620,21,,Aggregated,37.714286,0.000000,25,37,47,52,77,140,290,370,2500,2500,2500,462,0,25,53.17387352382358,2.8345199998511816,2514.17686700006,846.2380952380952
1765937621,24,,Aggregated,43.125000,0.000000,25,37,47,51,85,140,300,370,2500,2500,2500,582,0,25,51.07134873712477,2.8345199998511816,2514.17686700006,837.3642611683849
1765937622,26,,Aggregated,50.888889,0.000000,25,34,43,49,72,120,290,370,2500,2500,2500,728,0,25,49.13170941621819,2.8345199998511816,2514.17686700006,822.6043956043956
1765937623,29,,Aggregated,57.500000,0.000000,25,34,42,47,63,120,290,350,2500,2500,2500,883,0,25,46.13459006003488,2.8345199998511816,2514.17686700006,846.3057757644394
1765937624,32,,Aggregated,71.400000,0.000000,25,34,42,47,67,110,280,320,2100,2500,2500,1041,1,25,44.60742985879956,2.8345199998511816,2514.17686700006,884.505283381364
1765937625,34,,Aggregated,85.800000,0.000000,25,34,43,48,63,99,270,310,2100,2500,2500,1215,2,25,42.96771364362955,2.8345199998511816,2514.17686700006,883.9794238683128
1765937626,37,,Aggregated,100.200000,0.100000,26,36,46,51,75,120,270,320,2100,2500,2500,1384,2,26,44.79700478324364,2.8345199998511816,2514.17686700006,874.9537572254335
1765937627,40,,Aggregated,113.200000,0.200000,27,38,47,54,84,140,270,320,2100,2500,2500,1556,3,27,46.91347557326759,2.8345199998511816,2514.17686700006,875.9492287917737
1765937628,40,,Aggregated,123.700000,0.200000,27,37,47,53,82,140,270,320,2100,2500,2500,1755,6,27,46.13821729116996,2.8345199998511816,2514.17686700006,876.9384615384615
1765937629,40,,Aggregated,136.800000,0.200000,27,38,48,54,84,140,260,310,2100,2500,2500,1957,9,27,46.00912713848125,2.8345199998511816,2514.17686700006,867.2927950945325
1765937630,40,,Aggregated,148.400000,0.600000,28,39,49,56,86,140,250,300,1700,2500,2500,2165,13,28,46.07644228314448,2.8345199998511816,2514.17686700006,851.8526558891455
1765937631,40,,Aggregated,159.400000,0.800000,27,38,48,54,81,130,230,290,1700,2500,2500,2366,21,27,44.107770786140854,2.8345199998511816,2514.17686700006,847.803888419273
1765937632,40,,Aggregated,167.400000,1.200000,26,37,46,52,79,130,210,290,1700,2500,2500,2574,27,26,42.59284253768728,2.8345199998511816,2514.17686700006,860.2400932400932
1765937633,40,,Aggregated,177.500000,2.100000,27,38,49,55,85,140,230,290,1700,2500,2500,2755,39,27,44.469496354993154,2.8345199998511816,2514.17686700006,847.7317604355717
1765937634,40,,Aggregated,183.400000,2.700000,27,38,49,55,86,140,220,290,1700,2500,2500,2933,59,27,44.10348512922075,2.8345199998511816,2514.17686700006,839.6501875213092
1765937635,40,,Aggregated,185.000000,3.500000,28,39,50,57,90,140,220,290,1400,2500,2500,3111,77,28,45.03998853937811,2.8345199998511816,2514.17686700006,830.4268723882996
1765937636,40,,Aggregated,187.500000,5.200000,28,40,50,58,89,140,210,290,1400,2500,2500,3290,93,28,44.88852753100418,2.8345199998511816,2514.17686700006,835.7145896656535
1765937637,40,,Aggregated,186.800000,7.400000,29,42,53,62,100,160,270,320,1400,2500,2500,3407,104,29,49.43375543498758,2.8345199998511816,2514.17686700006,828.1138831816847
1765937638,40,,Aggregated,188.400000,8.700000,29,42,53,62,100,160,270,320,1400,2500,2500,3597,125,29,49.1749086700036,2.8345199998511816,2514.17686700006,823.6010564359188
1765937639,40,,Aggregated,181.700000,9.900000,29,43,55,64,110,160,270,320,1400,2500,2500,3748,141,29,49.89026290074722,2.8345199998511816,2514.17686700006,819.1643543223053
1765937640,40,,Aggregated,179.500000,11.500000,30,44,57,68,110,180,280,320,1400,2500,2500,3897,158,30,52.030389376444234,2.8345199998511816,2514.17686700006,812.6371567872723
1765937641,40,,Aggregated,178.000000,13.200000,29,43,55,65,110,170,270,320,500,2500,2500,4100,184,29,50.75495961390438,2.8345199998511816,2514.17686700006,808.53
1765937642,40,,Aggregated,170.700000,13.800000,28,42,54,63,110,160,270,310,500,2500,2500,4298,208,28,49.43281303629738,2.8345199998511816,2514.17686700006,813.3438808748255
1765937643,40,,Aggregated,168.500000,15.200000,28,41,53,62,110,160,270,310,500,2500,2500,4493,230,28,48.56291666058459,2.8345199998511816,2514.17686700006,803.3656799465836
1765937644,40,,Aggregated,168.800000,17.500000,28,40,52,61,100,160,260,310,500,2500,2500,4687,251,28,47.74890628803283,2.8345199998511816,2514.17686700006,802.0763814806912
1765937645,40,,Aggregated,170.500000,18.800000,28,40,51,59,100,150,250,300,500,2500,2500,4888,275,28,46.920208338996446,2.8345199998511816,2514.17686700006,794.6290916530278
1765937646,40,,Aggregated,172.500000,19.400000,27,39,50,58,97,150,250,300,490,2500,2500,5086,293,27,45.9250453912735,2.8345199998511816,2514.17686700006,790.2811639795517
1765937647,40,,Aggregated,175.100000,19.400000,27,39,49,57,96,150,250,290,490,2500,2500,5267,310,27,45.44241639339591,2.8345199998511816,2514.17686700006,787.7123599772166
1765937648,40,,Aggregated,176.700000,19.600000,27,39,49,56,94,140,240,290,490,2500,2500,5466,327,27,44.79239427314642,2.8345199998511816,2514.17686700006,784.1917306988657
1765937649,40,,Aggregated,183.600000,20.300000,27,38,49,56,93,140,240,290,490,2500,2500,5647,356,27,44.386355601738295,2.8345199998511816,2514.17686700006,780.4366920488756
1765937650,40,,Aggregated,185.800000,20.100000,27,38,49,56,91,140,240,290,490,2500,2500,5837,384,27,44.08768087767919,2.8345199998511816,2514.17686700006,777.0137056707213
1765937651,40,,Aggregated,185.500000,20.700000,26,37,47,55,89,140,240,290,490,2500,2500,6045,410,26,43.24991875533745,2.8345199998511816,2514.17686700006,778.8263027295285
1765937652,40,,Aggregated,192.100000,22.200000,26,36,47,54,86,140,230,280,490,2500,2500,6249,441,26,42.56950712530257,2.8345199998511816,2514.17686700006,771.8137301968314
1765937653,40,,Aggregated,192.700000,22.600000,26,36,46,53,86,130,230,280,490,2500,2500,6446,475,26,42.08775609463511,2.8345199998511816,2514.17686700006,767.1600992863791
1765937654,40,,Aggregated,192.400000,23.000000,25,36,46,53,84,130,220,280,490,2500,2500,6633,498,25,41.579753733456506,2.8345199998511816,2514.17686700006,767.6387758178803
1765937655,40,,Aggregated,193.500000,23.900000,25,36,45,52,83,130,220,280,490,2500,2500,6826,533,25,41.177328681221596,2.8345199998511816,2514.17686700006,763.8784060943451
1765937656,40,,Aggregated,193.600000,24.400000,25,36,46,53,84,130,210,280,480,2500,2500,7003,558,25,41.27601006554636,2.8345199998511816,2514.17686700006,759.2153362844496
1765937657,40,,Aggregated,192.000000,25.000000,26,36,46,53,86,130,220,280,480,2500,2500,7164,586,26,41.86751932454188,2.8345199998511816,2514.17686700006,758.2326912339475
1765937658,40,,Aggregated,190.300000,26.100000,25,36,45,53,84,130,220,280,480,2500,2500,7355,614,25,41.35485980054681,2.8345199998511816,2514.17686700006,757.3188307273963
1765937659,40,,Aggregated,188.600000,27.200000,25,35,45,52,83,130,220,280,480,2500,2500,7551,642,25,40.82907195643231,2.8345199998511816,2514.17686700006,753.9230565488015
1765937660,40,,Aggregated,186.900000,28.200000,25,35,45,52,84,130,210,280,480,2500,2500,7732,672,25,40.89154375517649,2.8345199998511816,2514.17686700006,752.3409208484221
1765937661,40,,Aggregated,190.000000,28.600000,25,35,45,52,85,130,210,280,480,2500,2500,7904,705,25,40.994931226976696,2.8345199998511816,2514.17686700006,748.9965840080972
1765937662,40,,Aggregated,188.000000,29.000000,25,35,44,52,84,130,210,280,470,2500,2500,8101,732,25,40.58364526762433,2.8345199998511816,2514.17686700006,745.258856931243
1765937663,40,,Aggregated,185.500000,28.900000,25,34,44,51,82,130,210,270,470,2500,2500,8292,757,25,40.073374963944225,2.8345199998511816,2514.17686700006,742.5980463096961
1765937664,40,,Aggregated,184.400000,28.800000,25,34,43,50,81,130,210,270,470,2500,2500,8490,786,25,39.6552766050681,2.8345199998511816,2514.17686700006,740.8171967020023
1765937665,40,,Aggregated,183.800000,28.200000,24,34,43,50,80,130,210,270,470,2500,2500,8683,814,24,39.336729718188224,2.8345199998511816,2514.17686700006,742.0223425083497
1765937666,40,,Aggregated,182.600000,28.200000,24,34,42,49,80,130,210,270,470,2500,2500,8868,845,24,39.17420874053118,2.8345199998511816,2514.17686700006,738.4410239061796
1765937667,40,,Aggregated,184.300000,27.900000,24,34,42,49,78,120,210,270,460,2500,2500,9053,881,24,38.933334790128235,2.8345199998511816,2514.17686700006,734.3344747597481
1765937668,40,,Aggregated,186.100000,28.800000,24,34,42,49,78,120,200,270,460,2500,2500,9233,908,24,38.80606945749244,2.8345199998511816,2514.17686700006,733.7186180006498
1765937669,40,,Aggregated,187.500000,28.900000,24,34,42,49,80,130,210,270,460,2500,2500,9411,949,24,39.047719086072085,2.8345199998511816,2514.17686700006,732.8943789182871
