Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[Stage20-DelayedWebhook-Docker] Add to Cart,338,0,22,25.826888393510554,15.888932000052591,150.75386300031823,754.6449704142012,3.7429723123180207,0.0,22,24,26,27,35,48,86,100,150,150,150
GET,[Stage20-DelayedWebhook-Docker] Check Order Status,652,0,12,12.927743746946708,7.137215000511787,201.12362899999425,866.7484662576687,7.220171442696301,0.0,12,13,13,14,17,20,30,49,200,200,200
POST,[Stage20-DelayedWebhook-Docker] Create Order,338,0,15,18.947483763311528,12.089312000171049,93.65830199931224,238.50295857988166,3.7429723123180207,0.0,15,16,18,20,28,43,77,82,94,94,94
GET,[Stage20-DelayedWebhook-Docker] Get Order Status,400,2,13,15.822260257473317,0.6866359999548877,280.18473599968274,1076.03,4.429553032329019,0.022147765161645093,13,14,15,15,18,22,32,47,280,280,280
GET,[Stage20-DelayedWebhook-Docker] Get Payments,94,1,10,9.922952436188504,0.6833639999968,15.391039999485656,4617.86170212766,1.0409449625973193,0.011073882580822546,10,10,11,11,13,14,14,15,15,15,15
POST,[Stage20-DelayedWebhook-Docker] POST /api/auth/login/,40,0,370.0,467.50017407489395,242.45313299979898,1219.6186330002092,368.6,0.4429553032329019,0.0,400,480,490,510,1200,1200,1200,1200,1200,1200,1200
POST,[Stage20-DelayedWebhook-Docker] Request Payment,333,0,15,18.04707218919278,12.179092000224045,106.06303599979583,337.34834834834834,3.687602899413908,0.0,15,17,19,20,24,29,46,49,110,110,110
GET,[Stage20-DelayedWebhook-Docker] Verify Orders,6,0,13,15.541820500099371,11.772441000175604,24.920568000197818,2618.3333333333335,0.06644329548493529,0.0,16,16,16,16,25,25,25,25,25,25,25
GET,[Stage20-DelayedWebhook-Docker] [Setup] Fetch Products,2,0,25,25.157329000194295,24.830714000017906,25.483944000370684,4866.5,0.022147765161645093,0.0,25,25,25,25,25,25,25,25,25,25,25
,Aggregated,2203,3,14,25.27350700272542,0.6833639999968,1219.6186330002092,870.5487970948707,24.39576332555207,0.03322164774246764,14,16,19,20,26,38,150,350,1200,1200,1200
