Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[Stage42-CompoundFailureChaos] Admin Login,50,0,240.0,279.3528351599889,219.7859289999542,494.0994030002912,84.0,0.16723206064764992,0.0,240,250,270,420,440,460,490,490,490,490,490
POST,[Stage42-CompoundFailureChaos] Allow Service,2,2,3,3.0116225002529973,2.7637130006041843,3.25953199990181,96.0,0.006689282425905997,0.006689282425905997,3,3,3,3,3,3,3,3,3,3,3
POST,[Stage42-CompoundFailureChaos] Block Service,2,2,2.321501000551507,2.666366000084963,2.321501000551507,3.0112309996184194,96.0,0.006689282425905997,0.006689282425905997,3,3,3,3,3,3,3,3,3,3,3
GET,[Stage42-CompoundFailureChaos] Browse Products,3680,0,7,7.582503916577697,4.692595000051369,273.66122100011125,52.0,12.308279663667035,0.0,7,7,7,8,8,8,9,11,210,270,270
GET,[Stage42-CompoundFailureChaos] Fetch Products,50,0,8,9.873353320053866,5.913160000091011,32.03090700026223,52.0,0.16723206064764992,0.0,8,9,11,12,18,23,32,32,32,32,32
GET,[Stage42-CompoundFailureChaos] Get DLQ Count,897,0,3,4.841691131555546,1.9324839995533694,213.34547199967346,96.0,3.0001431680188397,0.0,3,4,4,4,4,4,6,62,210,210,210
GET,[Stage42-CompoundFailureChaos] Health Ping,2157,0,3,3.8337681112700444,1.7563789997439017,243.16127999918535,16.0,7.214391096339618,0.0,3,3,3,3,3,4,5,11,210,240,240
POST,[Stage42-CompoundFailureChaos] Inject Transient Failure,2,2,3,3.3624964999035,2.9564289998234017,3.7685639999835985,96.0,0.006689282425905997,0.006689282425905997,4,4,4,4,4,4,4,4,4,4,4
POST,[Stage42-CompoundFailureChaos] Reset Service,4,4,2.142463000382122,2.6903049999873474,2.142463000382122,3.1743950003146892,96.0,0.013378564851811993,0.013378564851811993,3,3,3,3,3,3,3,3,3,3,3
POST,[Stage42-CompoundFailureChaos] User Login,50,0,240.0,287.7110190199892,218.7480089996825,557.5686909996875,84.0,0.16723206064764992,0.0,240,250,300,440,470,480,560,560,560,560,560
,Aggregated,6894,10,6,10.065528247609892,1.7563789997439017,557.5686909996875,46.98926602843052,23.05795652209797,0.033446412129529986,6,7,7,7,8,8,40,230,470,560,560
